date,etf_open,etf_close,signal_probability,research_target_weight,next_target_weight,executed_target_weight,shadow_target_weight,quality_gate_passed,contribution,total_contributions,strategy_cash,strategy_shares,strategy_portfolio_value,strategy_nav,baseline_cash,baseline_shares,baseline_portfolio_value,baseline_nav,shadow_cash,shadow_shares,shadow_portfolio_value,shadow_nav
2026-08-19,1.44700000,1.33700000,0.54167324,0.50000000,1.00000000,1.00000000,0.20000000,True,0.00000000,16000.00000000,4.41120000,11900,15914.71120000,1.04128321,4.41120000,11900,15914.71120000,1.04128321,12863.56675000,2100,15671.26675000,0.97886408
2026-08-20,1.34500000,1.32000000,0.52293836,0.50000000,1.00000000,1.00000000,0.20000000,True,0.00000000,16000.00000000,4.41120000,11900,15712.41120000,1.02804693,4.41120000,11900,15712.41120000,1.02804693,12589.43225000,2300,15625.43225000,0.97600115
2026-08-21,1.31200000,1.33000000,0.51438230,0.50000000,1.00000000,1.00000000,0.20000000,True,0.00000000,16000.00000000,4.41120000,11900,15831.41120000,1.03583297,4.41120000,11900,15831.41120000,1.03583297,12589.43225000,2300,15648.43225000,0.97743778
2026-08-24,1.32500000,1.29100000,0.51522979,0.50000000,1.00000000,1.00000000,0.20000000,True,0.00000000,16000.00000000,4.41120000,11900,15367.31120000,1.00546739,4.41120000,11900,15367.31120000,1.00546739,12589.43225000,2300,15558.73225000,0.97183491
2026-08-25,1.28400000,1.32200000,0.51186131,0.50000000,1.00000000,1.00000000,0.20000000,True,0.00000000,16000.00000000,4.41120000,11900,15736.21120000,1.02960414,4.41120000,11900,15736.21120000,1.02960414,12455.96805000,2400,15628.76805000,0.97620951
2026-08-26,1.32000000,1.31600000,0.51353847,0.50000000,1.00000000,1.00000000,0.20000000,True,0.00000000,16000.00000000,4.41120000,11900,15664.81120000,1.02493251,4.41120000,11900,15664.81120000,1.02493251,12582.90205000,2300,15609.70205000,0.97501860
2026-08-27,1.31500000,1.33600000,0.51498693,0.50000000,1.00000000,1.00000000,0.20000000,True,0.00000000,16000.00000000,4.41120000,11900,15902.81120000,1.04050460,4.41120000,11900,15902.81120000,1.04050460,12582.90205000,2300,15655.70205000,0.97789187
2026-08-28,1.33600000,1.32100000,0.51624589,0.50000000,1.00000000,1.00000000,0.20000000,False,0.00000000,16000.00000000,4.41120000,11900,15724.31120000,1.02882553,4.41120000,11900,15724.31120000,1.02882553,12582.90205000,2300,15621.20205000,0.97573692
2026-08-31,1.30700000,1.34300000,0.51847047,0.50000000,1.00000000,1.00000000,0.00000000,False,0.00000000,16000.00000000,4.41120000,11900,15986.11120000,1.04595484,4.41120000,11900,15986.11120000,1.04595484,15582.49900000,0,15582.49900000,0.97331944
2026-09-01,1.34300000,1.32800000,0.51763628,0.50000000,1.00000000,1.00000000,0.00000000,False,1000.00000000,17000.00000000,58.84115000,12600,16791.64115000,1.03323086,58.84115000,12600,16791.64115000,1.03323086,16582.49900000,0,16582.49900000,0.97331944
2026-09-02,1.31800000,1.30700000,0.51619369,0.50000000,1.00000000,1.00000000,0.00000000,False,0.00000000,17000.00000000,58.84115000,12600,16527.04115000,1.01694937,58.84115000,12600,16527.04115000,1.01694937,16582.49900000,0,16582.49900000,0.97331944
2026-09-03,1.31600000,1.32600000,0.51734769,0.50000000,1.00000000,1.00000000,0.00000000,False,0.00000000,17000.00000000,58.84115000,12600,16766.44115000,1.03168024,58.84115000,12600,16766.44115000,1.03168024,16582.49900000,0,16582.49900000,0.97331944
